linea,frase,corpus,menu,status,items,unknown,needs_review,fail_safe,tiempo_ms
1,"hola buenas, quiero 2 pizzas hawaianas",realistic,demo,ok,"[{""product"": ""Pizza Hawaiana"", ""quantity"": 2}]",[],False,False,0.571
2,"buenas tardes, me gustaria pedir una hamburguesa clasica",realistic,demo,ok,"[{""product"": ""Hamburguesa Clásica"", ""quantity"": 1}]",[],False,False,0.841
3,"hola, dame 3 cocas cola por favor",realistic,demo,ok,"[{""product"": ""Coca Cola"", ""quantity"": 3}]",[],False,False,0.48
4,"buenos dias, quisiera 2 aguas mineral",realistic,demo,ok,"[{""product"": ""Agua Mineral"", ""quantity"": 2}]",[],False,False,0.451
5,"hey, 1 pizza margarita y 1 ensalada cesar",realistic,demo,needs_clarification,"[{""product"": ""Pizza Margarita"", ""quantity"": 1}, {""product"": ""Ensalada César"", ""quantity"": 1}]","[""hey""]",False,False,1.022
6,2 papas fritas,realistic,demo,needs_clarification,[],"[""2 papas fritas""]",True,True,0.725
7,una pizza hawaiana,realistic,demo,ok,"[{""product"": ""Pizza Hawaiana"", ""quantity"": 1}]",[],False,False,0.397
8,3 hamburguesas mega,realistic,demo,ok,"[{""product"": ""Hamburguesa Clásica"", ""quantity"": 3}]",[],False,False,0.748
9,2x coca cola,realistic,demo,ok,"[{""product"": ""Coca Cola"", ""quantity"": 2}]",[],False,False,0.443
10,x2 agua mineral,realistic,demo,ok,"[{""product"": ""Agua Mineral"", ""quantity"": 2}]",[],False,False,0.763
11,quiero 4 ensaladas cesar,realistic,demo,ok,"[{""product"": ""Ensalada César"", ""quantity"": 4}]",[],False,False,1.018
12,dame 2 pizzas margarita,realistic,demo,ok,"[{""product"": ""Pizza Margarita"", ""quantity"": 2}]",[],False,False,0.486
13,necesito 1 hamburguesa doble carne,realistic,demo,ok,"[{""product"": ""Hamburguesa Clásica"", ""quantity"": 1}]",[],False,False,1.609
14,ponme 3 cocas,realistic,demo,ok,"[{""product"": ""Coca Cola"", ""quantity"": 3}]",[],False,False,0.798
15,traeme 2 hawaianas porfa,realistic,demo,ok,"[{""product"": ""Pizza Hawaiana"", ""quantity"": 2}]",[],False,False,0.59
16,2 hawaianas y 1 coca,realistic,demo,ok,"[{""product"": ""Pizza Hawaiana"", ""quantity"": 2}, {""product"": ""Coca Cola"", ""quantity"": 1}]",[],False,False,1.027
17,"una margarita, dos cocas y una agua",realistic,demo,ok,"[{""product"": ""Pizza Margarita"", ""quantity"": 1}, {""product"": ""Coca Cola"", ""quantity"": 2}, {""product"": ""Agua Mineral"", ""quantity"": 1}]",[],False,False,1.176
18,3 pizzas hawaianas + 2 gaseosas,realistic,demo,ok,"[{""product"": ""Pizza Hawaiana"", ""quantity"": 3}, {""product"": ""Coca Cola"", ""quantity"": 2}]",[],False,False,0.808
19,hamburguesa clasica y papas fritas,realistic,demo,needs_clarification,"[{""product"": ""Hamburguesa Clásica"", ""quantity"": 1}]","[""papas fritas""]",False,False,0.804
20,2 mega; 1 ensalada cesar; 2 aguas,realistic,demo,needs_clarification,"[{""product"": ""Ensalada César"", ""quantity"": 1}, {""product"": ""Agua Mineral"", ""quantity"": 2}]","[""2 mega""]",False,False,0.911
21,pizza margarita | 1 coca | 1 agua,realistic,demo,ok,"[{""product"": ""Pizza Margarita"", ""quantity"": 1}, {""product"": ""Coca Cola"", ""quantity"": 1}, {""product"": ""Agua Mineral"", ""quantity"": 1}]",[],False,False,0.789
22,dos hawaianas luego 1 coca cola,realistic,demo,ok,"[{""product"": ""Pizza Hawaiana"", ""quantity"": 2}, {""product"": ""Coca Cola"", ""quantity"": 1}]",[],False,False,0.561
23,una margarita y aparte 2 aguas,realistic,demo,needs_clarification,"[{""product"": ""Pizza Margarita"", ""quantity"": 1}, {""product"": ""Agua Mineral"", ""quantity"": 2}]","[""aparte""]",False,False,0.88
24,tambien quiero 1 ensalada cesar,realistic,demo,ok,"[{""product"": ""Ensalada César"", ""quantity"": 1}]",[],False,False,0.399
25,dos pizzas hawaianas,realistic,demo,ok,"[{""product"": ""Pizza Hawaiana"", ""quantity"": 2}]",[],False,False,0.43
26,tres cocas cola,realistic,demo,ok,"[{""product"": ""Coca Cola"", ""quantity"": 3}]",[],False,False,0.341
27,una hamburguesa clasica,realistic,demo,ok,"[{""product"": ""Hamburguesa Clásica"", ""quantity"": 1}]",[],False,False,0.356
28,cuatro papas fritas,realistic,demo,needs_clarification,[],"[""cuatro papas fritas""]",True,True,0.641
29,cinco ensaladas cesar,realistic,demo,ok,"[{""product"": ""Ensalada César"", ""quantity"": 5}]",[],False,False,0.471
30,seis aguas mineral,realistic,demo,ok,"[{""product"": ""Agua Mineral"", ""quantity"": 6}]",[],False,False,1.517
31,siete hamburguesas mega,realistic,demo,ok,"[{""product"": ""Hamburguesa Clásica"", ""quantity"": 7}]",[],False,False,0.98
32,ocho cocas,realistic,demo,ok,"[{""product"": ""Coca Cola"", ""quantity"": 8}]",[],False,False,0.469
33,diez pizzas margarita,realistic,demo,ok,"[{""product"": ""Pizza Margarita"", ""quantity"": 10}]",[],False,False,0.462
34,un par de hawaianas,realistic,demo,ok,"[{""product"": ""Pizza Hawaiana"", ""quantity"": 2}]",[],False,False,0.486
35,una docena de cocas,realistic,demo,ok,"[{""product"": ""Coca Cola"", ""quantity"": 12}]",[],False,False,0.355
36,2 hamburgesas clasica,realistic,demo,ok,"[{""product"": ""Hamburguesa Clásica"", ""quantity"": 2}]",[],False,False,0.375
37,una piza hawaiana,realistic,demo,ok,"[{""product"": ""Pizza Hawaiana"", ""quantity"": 1}]",[],False,False,0.355
38,3 gaseosas,realistic,demo,ok,"[{""product"": ""Coca Cola"", ""quantity"": 3}]",[],False,False,0.404
39,2 ensalada cesar,realistic,demo,ok,"[{""product"": ""Ensalada César"", ""quantity"": 2}]",[],False,False,0.333
40,una cocacola,realistic,demo,ok,"[{""product"": ""Coca Cola"", ""quantity"": 1}]",[],False,False,0.288
41,2 papas fritas porfa,realistic,demo,needs_clarification,[],"[""2 papas fritas porfa""]",True,True,0.544
42,3 hamburgesas mega y 1 agua,realistic,demo,ok,"[{""product"": ""Hamburguesa Clásica"", ""quantity"": 3}, {""product"": ""Agua Mineral"", ""quantity"": 1}]",[],False,False,0.662
43,bueno pues 2 hawaianas y 1 coca porfa,realistic,demo,ok,"[{""product"": ""Pizza Hawaiana"", ""quantity"": 2}, {""product"": ""Coca Cola"", ""quantity"": 1}]",[],False,False,0.527
44,oye amigo dame 3 margaritas,realistic,demo,ok,"[{""product"": ""Pizza Margarita"", ""quantity"": 3}]",[],False,False,0.376
