linea,frase,menu,status,items,unknown,needs_review,fail_safe,user_intent,tiempo_ms
1,"hola, quiero 2 pizzas hawaianas y 1 coca cola",real,needs_clarification,"[{""product"": ""Hawaiana"", ""quantity"": 2}]","[""1 coca cola""]",False,False,,2.583
2,"buenas, una hamburguesa clásica con papas fritas",real,needs_clarification,[],"[""una hamburguesa clasica con papas fritas""]",True,True,,1.333
3,dame 3 tacos al pastor por favor,real,needs_clarification,[],"[""3 tacos al pastor por favor""]",True,True,,0.966
4,2 hamburguesas mega y 2 aguas mineral,real,needs_clarification,[],"[""2 hamburguesas mega"", ""2 aguas mineral""]",True,True,,3.201
5,"una pizza margarita, gracias",real,needs_clarification,[],"[""una pizza margarita gracias""]",True,True,,1.17
6,tres cocas cola y una ensalada césar,real,needs_clarification,"[{""product"": ""cocacola"", ""quantity"": 3}]","[""una ensalada cesar""]",False,False,,1.178
7,me pones 2 burritos de frijol y 1 limonada natural,real,needs_clarification,[],"[""me pones"", ""2 burritos de frijol y"", ""1 limonada natural""]",True,True,,1.597
8,un par de hawaianas y una coca,real,needs_clarification,"[{""product"": ""Hawaiana"", ""quantity"": 2}]","[""una coca""]",False,False,,0.86
9,quisiera 2 ensaladas y 1 café americano,real,needs_clarification,[],"[""2 ensaladas"", ""1 cafe americano""]",True,True,,1.148
10,2x pizza de jamón y queso,real,needs_clarification,[],"[""2x pizza de jamon y queso""]",True,True,,1.016
11,x2 agua mineral,real,needs_clarification,[],"[""x2 agua mineral""]",True,True,,0.909
12,pizza hawaiana y coca cola,real,needs_clarification,"[{""product"": ""Hawaiana"", ""quantity"": 1}]","[""coca cola""]",False,False,,1.009
13,hamburguesa clásica y papas,real,needs_clarification,[],"[""hamburguesa clasica"", ""papas""]",True,True,,1.4
14,menú porfa,real,needs_clarification,[],"[""intención de menú""]",False,False,menu,0.066
15,qué tienen de bebidas,real,needs_clarification,[],"[""que tienen de bebidas""]",True,True,,0.913
16,quítame una coca cola,real,needs_clarification,[],"[""quitame"", ""una coca cola""]",True,True,,1.004
17,cambia la margarita por hawaiana,real,ok,"[{""product"": ""Hawaiana"", ""quantity"": 1}]",[],False,False,,0.792
18,para llevar: 2 mega y 1 papas fritas,real,needs_clarification,[],"[""para llevar"", ""2 mega"", ""1 papas fritas""]",True,True,,2.007
19,"bueno, 2 hawaianas y tres cocas",real,ok,"[{""product"": ""Hawaiana"", ""quantity"": 2}, {""product"": ""cocacola"", ""quantity"": 3}]",[],False,False,,1.711
20,me das una ranchera y dos papas grandes,real,needs_clarification,[],"[""me das"", ""una ranchera"", ""dos papas grandes""]",True,True,,1.374
21,"pedido: 2 hawaiana, 1 coca, 1 agua",real,needs_clarification,"[{""product"": ""Hawaiana"", ""quantity"": 2}]","[""1 coca"", ""1 agua""]",False,False,,0.983
22,"dos pizzas margarita, una hawaiana",real,needs_clarification,"[{""product"": ""Hawaiana"", ""quantity"": 1}]","[""dos pizzas margarita""]",False,False,,0.89
23,tres hamburguesas y una limonada,real,needs_clarification,[],"[""tres hamburguesas"", ""una limonada""]",True,True,,0.975
24,solo una ensalada césar,real,needs_clarification,[],"[""una ensalada cesar""]",True,True,,0.814
25,4 alitas y 2 cocas porfa,real,needs_clarification,"[{""product"": ""cocacola"", ""quantity"": 2}]","[""4 alitas""]",False,False,,0.856
26,por favor diez ensalada césar | cuatro pizza margarita para llevar,real,needs_clarification,[],"[""diez ensalada cesar"", ""cuatro pizza margarita para llevar""]",True,True,,1.324
27,mi pedido: 2 limonada natural | 10 alitas de pollo | 12 nuggets de pollo,real,needs_clarification,[],"[""2 limonada natural"", ""10 alitas de pollo"", ""12 nuggets de pollo""]",True,True,,1.506
28,buenas tardes 4x té helado + 10 coca cola + 10x torta de milanesa + 8 jugo de naranja para comer ahí,real,needs_clarification,[],"[""4x te helado"", ""10 coca cola"", ""10x torta de milanesa"", ""8 jugo de naranja para comer ahi""]",True,True,,1.911
29,deme dos agua embotellada,real,needs_clarification,[],"[""dos agua embotellada""]",True,True,,0.818
30,buenas noches x8 té helado aparte tres pizza pizza ranchera aparte 10x pizza pizza ranchera aparte diez pizza pepperoni para llevar,real,needs_clarification,[],"[""x8 te helado"", ""tres pizza pizza ranchera"", ""10x pizza pizza ranchera"", ""diez pizza pepperoni para llevar""]",True,True,,2.825
31,"me traes tres pizza pizza ranchera, tres hamburgesa doble pollo, una pizza pizza margarita, 12 agua embotellada please",real,needs_clarification,[],"[""me traes"", ""tres pizza pizza ranchera"", ""tres hamburgesa doble pollo"", ""una pizza pizza margarita"", ""12 agua embotellada please""]",True,True,,3.516
32,necesito 8 café americano luego x8 té helado por favor,real,needs_clarification,[],"[""8 cafe americano"", ""x8 te helado por favor""]",True,True,,1.167
33,voy a querer 6 hamburguesa doble pollo + 5 papas grandes para llevar,real,needs_clarification,"[{""product"": ""cocacola"", ""quantity"": 1}]","[""6 hamburguesa doble pollo"", ""5 papas grandes para llevar""]",True,False,,1.902
34,voy a querer una docena de hamburguesa hamburguesa mega gracias,real,needs_clarification,"[{""product"": ""cocacola"", ""quantity"": 1}]","[""12 hamburguesa hamburguesa mega gracias""]",True,False,,1.317
