linea,frase,corpus,menu,status,items,unknown,needs_review,fail_safe,tiempo_ms
1,"* 2 pizza hawaiana, 1 coca cola",adversarial_2k,demo,ok,"[{""product"": ""Pizza Hawaiana"", ""quantity"": 2}, {""product"": ""Coca Cola"", ""quantity"": 1}]",[],False,False,0.75
2,* una hamburguesa y dos aguas,adversarial_2k,demo,ok,"[{""product"": ""Hamburguesa Clásica"", ""quantity"": 1}, {""product"": ""Agua Mineral"", ""quantity"": 2}]",[],False,False,0.483
3,...,adversarial_2k,demo,needs_clarification,[],"[""texto no interpretable""]",True,True,0.034
4,1 combo familiar * 7 pizzahawaiana * 777 gaseosa * 15 hbogruesa * 2333 hamburguesa * 4 algo rico ???,adversarial_2k,demo,needs_clarification,"[{""product"": ""Pizza Hawaiana"", ""quantity"": 7}, {""product"": ""Coca Cola"", ""quantity"": 777}, {""product"": ""Hamburguesa Clásica"", ""quantity"": 2348}]","[""1 combo familiar"", ""4 algo rico""]",False,False,1.675
5,1 la mega ademas x777 la mega porfa,adversarial_2k,demo,needs_clarification,[],"[""1 la mega"", ""x777 la mega porfa""]",True,True,0.855
6,1 piza hawaiana ; 7x habasurguesa doble pollo 🍕🍔,adversarial_2k,demo,ok,"[{""product"": ""Pizza Hawaiana"", ""quantity"": 1}, {""product"": ""Hamburguesa Clásica"", ""quantity"": 7}]",[],False,False,0.882
7,1 pizza de jamon y queso con 8 pizzahawaiana con 60 pizza mexicana con 10 ppizza hawaiana con 7 hamburguesa mega con 7 cooca colla porfa,adversarial_2k,demo,needs_clarification,"[{""product"": ""Pizza Margarita"", ""quantity"": 61}, {""product"": ""Pizza Hawaiana"", ""quantity"": 18}, {""product"": ""Hamburguesa Clásica"", ""quantity"": 7}, {""product"": ""Coca Cola"", ""quantity"": 7}]",[],True,False,2.799
8,10 habasurguesa ddoblee p luego 60 coca cola luego 7 eso luego 8 gaaseosa luego 60 hamburgesa clasica luego 3 cerveza gracias,adversarial_2k,demo,needs_clarification,"[{""product"": ""Hamburguesa Clásica"", ""quantity"": 70}, {""product"": ""Coca Cola"", ""quantity"": 68}]","[""3 cerveza gracias""]",False,False,2.015
9,10 hamburgesa clasica con 60x hamburguesa doble pollo con 10 cervezaa con 12 pizzahawaiana con 5 tacos con x1 piza hawaiana,adversarial_2k,demo,needs_clarification,"[{""product"": ""Hamburguesa Clásica"", ""quantity"": 70}, {""product"": ""Pizza Hawaiana"", ""quantity"": 13}]","[""10 cervezaa  con"", ""5 tacos  con""]",False,False,2.46
10,10 hamburgesa mega & 15 habasurguesa doble pollo 🍕🍔,adversarial_2k,demo,ok,"[{""product"": ""Hamburguesa Clásica"", ""quantity"": 25}]",[],False,False,1.087
11,"10 lo mismo , 15 hamburgesa clasiica , 2 hamburguesa doble pollo , 2333 haamburgesa clasica sin cebolla",adversarial_2k,demo,needs_clarification,"[{""product"": ""Hamburguesa Clásica"", ""quantity"": 2350}]","[""10 lo mismo""]",False,False,2.159
12,10 lo mismoaa sin cebolla,adversarial_2k,demo,needs_clarification,[],"[""10 lo mismoaa sin cebolla""]",True,True,0.793
13,12 cocaacola e x3 hamburguesa clasica e 12 hamburgesa mega e 10 pizza hawaiana gracias,adversarial_2k,demo,ok,"[{""product"": ""Coca Cola"", ""quantity"": 12}, {""product"": ""Hamburguesa Clásica"", ""quantity"": 15}, {""product"": ""Pizza Hawaiana"", ""quantity"": 10}]",[],False,False,1.403
14,12 haabbasurrgueesa doble  p + x5 piza margarita + 5 combo familiar + 777 eso ...,adversarial_2k,demo,needs_clarification,"[{""product"": ""Hamburguesa Clásica"", ""quantity"": 12}, {""product"": ""Pizza Margarita"", ""quantity"": 5}]","[""5 combo familiar""]",False,False,1.332
15,12 la que tiene pollo,adversarial_2k,demo,needs_clarification,[],"[""12 la que tiene pollo""]",True,True,0.574
16,* 8 ennsalada  ccéssar (),adversarial_2k,demo,ok,"[{""product"": ""Ensalada César"", ""quantity"": 8}]",[],False,False,0.502
17,12 ppizza haawwaiana ; 5 agua mineral ; 10 pizza hawaiana ; 4x hbogruesa ; 10 combo familiar gracias,adversarial_2k,demo,needs_clarification,"[{""product"": ""Pizza Hawaiana"", ""quantity"": 22}, {""product"": ""Agua Mineral"", ""quantity"": 5}, {""product"": ""Hamburguesa Clásica"", ""quantity"": 4}]","[""10 combo familiar gracias""]",False,False,1.58
18,12123 cocas con 777 hawaianas y 8 picsas de jamon y quieso,adversarial_2k,demo,needs_clarification,"[{""product"": ""Coca Cola"", ""quantity"": 12123}, {""product"": ""Pizza Hawaiana"", ""quantity"": 777}]","[""8 picsas de jamon y quieso""]",False,False,1.305
